Year,LandAndOceanAverageTemperature,LandAndOceanAverageTemperatureUncertainty
1958,15.382083333333334,0.07450000000000001
1959,15.340499999999999,0.07391666666666667
1960,15.291916666666665,0.06933333333333334
1961,15.379916666666668,0.06716666666666667
1962,15.325583333333334,0.0725
1963,15.376666666666667,0.06833333333333334
1964,15.117083333333332,0.06516666666666668
1965,15.195750000000002,0.06725000000000002
1966,15.264666666666665,0.06366666666666668
1967,15.294166666666667,0.059250000000000004
1968,15.263916666666665,0.060166666666666674
1969,15.390499999999998,0.05516666666666667
1970,15.332666666666666,0.05325000000000001
1971,15.200000000000001,0.05616666666666667
1972,15.292916666666668,0.055833333333333346
1973,15.404750000000002,0.054916666666666676
1974,15.168083333333334,0.056250000000000015
1975,15.238666666666667,0.055333333333333345
1976,15.131083333333335,0.05741666666666668
1977,15.40825,0.05300000000000001
1978,15.300916666666666,0.055500000000000015
1979,15.414166666666667,0.047499999999999994
1980,15.491833333333332,0.053666666666666675
1981,15.516166666666669,0.05233333333333334
1982,15.341916666666668,0.05475
1983,15.520249999999999,0.055833333333333346
1984,15.344166666666666,0.05716666666666668
1985,15.34066666666667,0.05391666666666667
1986,15.384000000000002,0.05325
1987,15.524500000000003,0.05333333333333334
1988,15.555750000000002,0.05325000000000001
1989,15.441583333333334,0.05591666666666668
1990,15.629333333333335,0.05725
1991,15.597999999999999,0.05508333333333334
1992,15.453000000000003,0.05816666666666668
1993,15.466416666666667,0.05916666666666668
1994,15.534999999999998,0.05858333333333334
1995,15.637833333333333,0.06041666666666668
1996,15.524666666666668,0.0595
1997,15.713833333333334,0.05916666666666667
1998,15.826000000000002,0.063
1999,15.600333333333333,0.06333333333333334
2000,15.610666666666667,0.06350000000000001
2001,15.767499999999998,0.06458333333333334
2002,15.829166666666667,0.06291666666666666
2003,15.826583333333337,0.06433333333333334
2004,15.75725,0.061250000000000006
2005,15.879249999999999,0.06083333333333335
2006,15.8135,0.06100000000000002
2007,15.827333333333334,0.05908333333333334
2008,15.721250000000003,0.05725
2009,15.827166666666669,0.05891666666666667
2010,15.895499999999998,0.05858333333333334
2011,15.7695,0.059
2012,15.802333333333337,0.0615
2013,15.854416666666667,0.06466666666666666
2014,15.912999999999997,0.06316666666666669
2015,16.058583333333335,0.06083333333333333
